cluster,cluster_label,pm25_bin_mid,pm25_bin_lo,pm25_bin_hi,mean_resp,median_resp,ci_lower,ci_upper,n
0,At Risk,51.0,47.5,54.4,587.2,380.8,328.8,845.5,10
0,At Risk,56.2,54.4,58.0,620.6,626.3,439.3,802.0,10
0,At Risk,60.0,58.0,62.1,343.4,231.8,150.5,536.2,9
0,At Risk,66.3,62.1,70.5,706.9,716.0,532.9,881.0,10
0,At Risk,74.5,70.5,78.5,627.6,570.5,435.0,820.2,9
0,At Risk,82.9,78.5,87.3,526.2,515.7,346.2,706.1,10
1,Critical — High Pollution,86.4,75.6,97.3,537.1,343.9,0.0,1102.4,3
1,Critical — High Pollution,101.8,97.3,106.4,628.1,449.7,124.7,1131.4,3
1,Critical — High Pollution,109.3,106.4,112.2,622.8,407.5,157.0,1088.6,3
1,Critical — High Pollution,117.7,112.2,123.1,945.9,827.3,0.0,1917.5,3
1,Critical — High Pollution,138.1,123.1,153.1,806.2,590.3,329.5,1282.9,3
2,Moderate,24.7,20.4,29.0,214.6,137.4,80.5,348.7,10
2,Moderate,31.2,29.0,33.4,257.8,201.4,130.6,385.0,10
2,Moderate,35.0,33.4,36.5,535.8,437.1,292.8,778.7,10
2,Moderate,38.4,36.5,40.2,345.7,300.3,237.6,453.7,9
2,Moderate,41.7,40.2,43.3,381.4,357.9,266.2,496.5,10
2,Moderate,48.9,43.3,54.5,509.5,509.9,336.5,682.6,10
3,Critical — High Disease Burden,39.0,23.8,54.3,1991.5,2071.1,1563.2,2419.8,3
3,Critical — High Disease Burden,59.6,54.3,65.0,1734.5,1915.6,1352.2,2116.8,3
3,Critical — High Disease Burden,69.9,65.0,74.8,1790.8,2010.4,1338.3,2243.4,3
3,Critical — High Disease Burden,77.5,74.8,80.1,1651.2,1539.5,1283.6,2018.8,3
3,Critical — High Disease Burden,82.9,80.1,85.7,2590.3,1540.3,297.6,4883.1,3
3,Critical — High Disease Burden,90.7,85.7,95.7,1906.8,1849.3,1391.1,2422.6,3
