state,district_name,population,literate_pop,working_pop,urban_percentage,literacy_rate,district_id
Andaman And Nicobar Islands,Nicobars,42068.0,26535.0,19623.0,0.0,63.1,1
Andaman And Nicobar Islands,North And Middle Andaman,105613.0,71197.0,40136.0,0.0,67.4,2
Andaman And Nicobar Islands,South Andamans,208471.0,155403.0,76495.0,55.7,74.5,3
Andhra Pradesh,Anantapur,3651377.0,1781790.0,1782639.0,25.5,48.8,4
Andhra Pradesh,Chittoor,3700768.0,2149198.0,1733356.0,21.4,58.1,5
Andhra Pradesh,East Godavari,4934894.0,2796742.0,1980045.0,21.6,56.7,6
Andhra Pradesh,Guntur,4398923.0,2417730.0,2165607.0,28.0,55.0,7
Andhra Pradesh,Krishna,4146220.0,2513053.0,1824132.0,32.4,60.6,8
Andhra Pradesh,Kurnool,3431240.0,1533462.0,1709188.0,21.7,44.7,9
Andhra Pradesh,Prakasam,3053190.0,1528231.0,1535261.0,15.1,50.1,10
Andhra Pradesh,Spsr Nellore,2655451.0,1516372.0,1205217.0,22.6,57.1,11
Andhra Pradesh,Srikakulam,2527469.0,1212937.0,1197291.0,11.0,48.0,12
Andhra Pradesh,Visakhapatanam,3397811.0,1714411.0,1469264.0,34.4,50.5,13
Andhra Pradesh,Vizianagaram,2236022.0,989046.0,1169228.0,17.9,44.2,14
Andhra Pradesh,West Godavari,3857768.0,2478956.0,1709133.0,19.5,64.3,15
Andhra Pradesh,Y.S.R.,2290320.0,1218778.0,1065588.0,14.2,53.2,16
Arunachal Pradesh,Anjaw,18536.0,5736.0,9566.0,0.0,30.9,17
Arunachal Pradesh,Changlang,134799.0,56311.0,62200.0,16.3,41.8,18
Arunachal Pradesh,Dibang Valley,13741.0,7817.0,6076.0,47.1,56.9,19
Arunachal Pradesh,East Kameng,46363.0,14337.0,21372.0,32.4,30.9,20
Arunachal Pradesh,East Siang,58892.0,31081.0,23275.0,28.9,52.8,21
Arunachal Pradesh,Kamle,15082.0,5348.0,6684.0,0.0,35.5,22
Arunachal Pradesh,Kra Daadi,33466.0,14053.0,14677.0,44.9,42.0,23
Arunachal Pradesh,Kurung Kumey,36423.0,12317.0,16805.0,32.3,33.8,24
Arunachal Pradesh,Leparada,31151.0,16228.0,11543.0,50.6,52.1,25
Arunachal Pradesh,Lohit,27806.0,12695.0,11958.0,0.0,45.7,26
Arunachal Pradesh,Longding,51022.0,11654.0,26161.0,0.0,22.8,27
Arunachal Pradesh,Lower Dibang Valley,46260.0,21451.0,20748.0,12.8,46.4,28
Arunachal Pradesh,Lower Siang,20722.0,10222.0,8078.0,0.0,49.3,29
Arunachal Pradesh,Lower Subansiri,54326.0,30452.0,20917.0,41.4,56.1,30
Arunachal Pradesh,Namsai,85705.0,39150.0,35901.0,17.8,45.7,31
Arunachal Pradesh,Pakke Kessang,10816.0,4001.0,4577.0,0.0,37.0,32
Arunachal Pradesh,Papum Pare,122003.0,69982.0,44132.0,50.9,57.4,33
Arunachal Pradesh,Shi Yomi,10269.0,3188.0,4270.0,0.0,31.0,34
Arunachal Pradesh,Siang,28317.0,11863.0,12258.0,0.0,41.9,35
Arunachal Pradesh,Tawang,38924.0,15337.0,21727.0,21.5,39.4,36
Arunachal Pradesh,Tirap,34010.0,11319.0,17429.0,0.0,33.3,37
Arunachal Pradesh,Unknown Districts Of India,212.0,124.0,82.0,0.0,58.5,38
Arunachal Pradesh,Upper Siang,37442.0,16307.0,18669.0,10.9,43.6,39
Arunachal Pradesh,Upper Subansiri,35406.0,11590.0,15605.0,0.0,32.7,40
Arunachal Pradesh,West Kameng,74599.0,37687.0,34362.0,9.0,50.5,41
Arunachal Pradesh,West Siang,31676.0,14535.0,13830.0,0.0,45.9,42
Assam,Baksa,874577.0,442390.0,335957.0,2.9,50.6,43
Assam,Barpeta,1396408.0,633288.0,420587.0,9.1,45.4,44
Assam,Biswanath,640655.0,302329.0,248200.0,4.1,47.2,45
Assam,Bongaigaon,543242.0,253762.0,165003.0,5.6,46.7,46
Assam,Cachar,1497534.0,867300.0,482997.0,17.0,57.9,47
Assam,Charaideo,394376.0,217426.0,167636.0,5.9,55.1,48
Assam,Chirang,440504.0,192648.0,163444.0,7.2,43.7,49
Assam,Darrang,726672.0,323466.0,232111.0,5.7,44.5,50
Assam,Dhemaji,566913.0,302343.0,247830.0,6.8,53.3,51
Assam,Dhubri,1173016.0,439291.0,330849.0,6.5,37.4,52
Assam,Dibrugarh,1177131.0,691835.0,469770.0,18.7,58.8,53
Assam,Dima Hasao,168820.0,94162.0,63095.0,29.8,55.8,54
Assam,Goalpara,822035.0,384670.0,273925.0,8.1,46.8,55
Assam,Golaghat,962964.0,567302.0,393884.0,10.2,58.9,56
Assam,Hailakandi,603199.0,308529.0,198695.0,17.3,51.1,57
Assam,Hojai,744791.0,393131.0,219103.0,17.7,52.8,58
Assam,Jorhat,843539.0,562127.0,325126.0,20.3,66.6,59
Assam,Kamrup,1310052.0,747735.0,413654.0,3.8,57.1,60
Assam,Kamrup Metro,1039931.0,763982.0,364940.0,80.6,73.5,61
Assam,Karbi Anglong,409474.0,195875.0,165521.0,4.4,47.8,62
Assam,Karimganj,955363.0,507256.0,286031.0,2.2,53.1,63
Assam,Kokrajhar,929581.0,422234.0,337164.0,14.9,45.4,64
Assam,Lakhimpur,876190.0,497197.0,491661.0,7.4,56.7,65
Assam,Majuli,153400.0,96981.0,88252.0,0.0,63.2,66
Assam,Marigaon,776256.0,367292.0,262824.0,4.9,47.3,67
Assam,Nagaon,1569838.0,772486.0,508538.0,9.3,49.2,68
Assam,Nalbari,684750.0,426209.0,204736.0,3.4,62.2,69
Assam,Sivasagar,655495.0,453318.0,262335.0,11.3,69.2,70
Assam,Sonitpur,1020143.0,519394.0,379346.0,14.7,50.9,71
Assam,South Salmara Mancachar,306523.0,97255.0,85020.0,9.4,31.7,72
Assam,Tinsukia,1150062.0,588302.0,466351.0,19.5,51.2,73
Assam,Udalguri,783271.0,363554.0,297845.0,4.2,46.4,74
Assam,Unknown Districts Of India,17479.0,8112.0,6854.0,0.0,46.4,75
