pm25_bin,resp_rate_mean,resp_rate_std,n,pm25_bin_center,se,linear_fit,loglinear_fit
"(10.229000000000001, 24.439]",22.11549893901545,8.216521434703045,1080,17.334,0.2500207852228649,30.69571978531731,9.397799418563324
"(24.439, 31.418]",31.95723804246819,10.98176695987753,1080,27.9285,0.3341645269549919,37.94050940844791,32.01434310000792
"(31.418, 37.77]",38.4470497846832,13.023847260246788,1085,34.594,0.3953888565548816,42.4985485073178,42.296834997585734
"(37.77, 44.162]",45.772057944802235,16.279180089363567,1075,40.966,0.49651033796298955,46.855884811870936,50.46346074791069
"(44.162, 50.91]",51.24731562592097,17.664797458843186,1081,47.536,0.5372739885921499,51.34861857221527,57.676139265887514
"(50.91, 59.0]",58.68380116809223,20.270509686404175,1082,54.955,0.6162416368875373,56.42192021117944,64.72993028810575
"(59.0, 69.18]",68.62013774275547,22.78171439627353,1078,64.09,0.6938682612992056,62.668666467000676,72.22909596207208
"(69.18, 82.534]",81.31836549546423,28.913201833600876,1079,75.857,0.8802083123306438,70.71524152909683,80.4697568345342
"(82.534, 105.835]",95.00550297363537,33.65052651046864,1080,94.1845,1.0239529134282932,83.2480540089615,91.07561293693388
"(105.835, 249.14]",129.4389680772403,47.15458556540399,1080,177.48749999999998,1.4348683446655146,140.21277249266987,122.25296224247612
