source_district,target_district,best_lag_months,F_stat,p_value,significant,direction
1,2,3,14.6113,0.0,True,1→2
2,1,2,26.1677,0.0,True,2→1
1,3,2,18.612,0.0,True,1→3
3,1,2,22.2122,0.0,True,3→1
1,4,2,12.4386,3e-05,True,1→4
4,1,2,30.154,0.0,True,4→1
1,5,2,19.5185,0.0,True,1→5
5,1,2,29.6539,0.0,True,5→1
1,6,2,15.6101,0.0,True,1→6
6,1,2,23.9885,0.0,True,6→1
1,7,2,11.7526,4e-05,True,1→7
7,1,2,27.3745,0.0,True,7→1
1,8,2,33.0,0.0,True,1→8
8,1,2,28.8567,0.0,True,8→1
1,9,2,31.1545,0.0,True,1→9
9,1,2,31.7083,0.0,True,9→1
1,10,1,51.4142,0.0,True,1→10
10,1,2,27.8024,0.0,True,10→1
1,23,2,23.7833,0.0,True,1→23
23,1,2,28.337,0.0,True,23→1
1,26,2,15.5994,0.0,True,1→26
26,1,2,25.5893,0.0,True,26→1
1,27,2,19.8837,0.0,True,1→27
27,1,2,23.4477,0.0,True,27→1
1,28,2,28.5222,0.0,True,1→28
28,1,2,35.9413,0.0,True,28→1
1,29,2,19.2754,0.0,True,1→29
29,1,2,20.6921,0.0,True,29→1
1,61,2,22.9502,0.0,True,1→61
61,1,2,28.8331,0.0,True,61→1
1,68,2,31.4205,0.0,True,1→68
68,1,2,25.5027,0.0,True,68→1
1,69,1,64.9046,0.0,True,1→69
69,1,2,33.5748,0.0,True,69→1
1,94,2,8.1514,0.00069,True,1→94
94,1,2,35.3937,0.0,True,94→1
1,131,2,22.533,0.0,True,1→131
131,1,2,26.9215,0.0,True,131→1
1,134,2,25.5559,0.0,True,1→134
134,1,2,24.4624,0.0,True,134→1
1,135,2,32.1926,0.0,True,1→135
135,1,2,34.5742,0.0,True,135→1
1,136,2,17.2202,0.0,True,1→136
136,1,2,25.8891,0.0,True,136→1
1,141,2,20.0865,0.0,True,1→141
141,1,2,25.2876,0.0,True,141→1
1,142,2,23.6901,0.0,True,1→142
142,1,2,31.8357,0.0,True,142→1
1,143,2,18.2471,0.0,True,1→143
143,1,2,26.2663,0.0,True,143→1
1,144,2,19.4899,0.0,True,1→144
144,1,2,23.2592,0.0,True,144→1
1,145,2,33.2148,0.0,True,1→145
145,1,2,24.3706,0.0,True,145→1
1,146,2,24.1293,0.0,True,1→146
146,1,2,30.1881,0.0,True,146→1
1,147,2,23.6499,0.0,True,1→147
147,1,2,33.78,0.0,True,147→1
1,148,4,17.7009,0.0,True,1→148
148,1,2,29.9483,0.0,True,148→1
1,149,2,20.4697,0.0,True,1→149
149,1,2,28.908,0.0,True,149→1
1,150,2,27.0428,0.0,True,1→150
150,1,2,29.485,0.0,True,150→1
2,3,2,18.2596,0.0,True,2→3
3,2,3,16.5571,0.0,True,3→2
2,4,2,11.0997,7e-05,True,2→4
4,2,2,19.3793,0.0,True,4→2
2,5,2,17.2611,0.0,True,2→5
5,2,2,19.1621,0.0,True,5→2
2,6,2,15.8964,0.0,True,2→6
6,2,2,16.6539,0.0,True,6→2
2,7,2,9.6468,0.00021,True,2→7
7,2,2,20.5709,0.0,True,7→2
2,8,2,38.9488,0.0,True,2→8
8,2,2,18.2936,0.0,True,8→2
2,9,2,30.4011,0.0,True,2→9
9,2,2,16.0101,0.0,True,9→2
2,10,1,51.5459,0.0,True,2→10
10,2,2,20.4103,0.0,True,10→2
2,23,2,20.4361,0.0,True,2→23
23,2,2,21.4833,0.0,True,23→2
2,26,2,17.884,0.0,True,2→26
26,2,2,19.2833,0.0,True,26→2
2,27,2,24.6963,0.0,True,2→27
27,2,2,21.4107,0.0,True,27→2
2,28,2,25.1593,0.0,True,2→28
28,2,2,19.1418,0.0,True,28→2
2,29,2,21.1966,0.0,True,2→29
29,2,3,19.9113,0.0,True,29→2
2,61,2,28.1343,0.0,True,2→61
61,2,2,15.9091,0.0,True,61→2
2,68,2,29.842,0.0,True,2→68
68,2,3,15.864,0.0,True,68→2
2,69,1,68.2243,0.0,True,2→69
69,2,2,22.2156,0.0,True,69→2
2,94,2,10.0434,0.00016,True,2→94
94,2,2,20.7693,0.0,True,94→2
2,131,2,23.1852,0.0,True,2→131
131,2,3,16.6237,0.0,True,131→2
2,134,2,24.7431,0.0,True,2→134
134,2,2,20.7632,0.0,True,134→2
2,135,2,31.4877,0.0,True,2→135
135,2,2,20.0525,0.0,True,135→2
2,136,2,17.0561,0.0,True,2→136
136,2,3,21.211,0.0,True,136→2
2,141,2,20.9551,0.0,True,2→141
141,2,3,15.5827,0.0,True,141→2
2,142,2,22.0019,0.0,True,2→142
142,2,3,14.6856,0.0,True,142→2
2,143,2,19.2686,0.0,True,2→143
143,2,3,18.0234,0.0,True,143→2
2,144,2,18.7527,0.0,True,2→144
144,2,3,16.9028,0.0,True,144→2
2,145,2,38.4183,0.0,True,2→145
145,2,3,16.1229,0.0,True,145→2
2,146,2,29.99,0.0,True,2→146
146,2,3,22.9639,0.0,True,146→2
2,147,2,26.8965,0.0,True,2→147
147,2,2,15.1719,0.0,True,147→2
2,148,2,30.4824,0.0,True,2→148
148,2,2,18.1153,0.0,True,148→2
2,149,2,22.5659,0.0,True,2→149
149,2,2,19.6,0.0,True,149→2
2,150,2,30.3029,0.0,True,2→150
150,2,3,16.3784,0.0,True,150→2
3,4,2,11.7951,4e-05,True,3→4
4,3,2,20.5969,0.0,True,4→3
3,5,3,12.3246,0.0,True,3→5
5,3,2,22.2715,0.0,True,5→3
3,6,2,19.7434,0.0,True,3→6
6,3,2,17.5668,0.0,True,6→3
3,7,2,9.877,0.00018,True,3→7
7,3,2,22.3662,0.0,True,7→3
3,8,2,42.1988,0.0,True,3→8
8,3,2,19.5817,0.0,True,8→3
3,9,2,32.4205,0.0,True,3→9
9,3,2,20.3888,0.0,True,9→3
3,10,1,53.1147,0.0,True,3→10
10,3,2,23.1884,0.0,True,10→3
3,23,2,25.6217,0.0,True,3→23
23,3,2,21.5852,0.0,True,23→3
3,26,2,15.1535,0.0,True,3→26
26,3,2,22.2855,0.0,True,26→3
3,27,2,22.2029,0.0,True,3→27
27,3,2,25.2715,0.0,True,27→3
3,28,2,26.3828,0.0,True,3→28
28,3,2,23.9674,0.0,True,28→3
3,29,2,16.4121,0.0,True,3→29
29,3,2,20.6924,0.0,True,29→3
3,61,2,29.7738,0.0,True,3→61
61,3,2,21.7355,0.0,True,61→3
3,68,3,23.168,0.0,True,3→68
68,3,2,25.0124,0.0,True,68→3
3,69,1,62.8529,0.0,True,3→69
69,3,2,25.1362,0.0,True,69→3
3,94,2,7.9902,0.00079,True,3→94
94,3,2,23.7338,0.0,True,94→3
3,131,2,25.3126,0.0,True,3→131
131,3,2,20.4572,0.0,True,131→3
3,134,2,30.3344,0.0,True,3→134
134,3,2,19.4767,0.0,True,134→3
3,135,2,26.1052,0.0,True,3→135
135,3,2,23.8364,0.0,True,135→3
3,136,2,15.4723,0.0,True,3→136
136,3,2,19.2348,0.0,True,136→3
3,141,2,24.4208,0.0,True,3→141
141,3,2,21.9153,0.0,True,141→3
3,142,2,19.9602,0.0,True,3→142
142,3,2,25.066,0.0,True,142→3
3,143,2,22.373,0.0,True,3→143
143,3,2,24.8572,0.0,True,143→3
3,144,2,18.0197,0.0,True,3→144
144,3,2,18.0539,0.0,True,144→3
3,145,2,42.4244,0.0,True,3→145
145,3,3,18.4874,0.0,True,145→3
3,146,2,31.1604,0.0,True,3→146
146,3,2,21.452,0.0,True,146→3
3,147,2,22.0403,0.0,True,3→147
147,3,2,24.3235,0.0,True,147→3
3,148,2,26.9744,0.0,True,3→148
148,3,2,22.4236,0.0,True,148→3
3,149,2,27.3653,0.0,True,3→149
149,3,2,19.2656,0.0,True,149→3
3,150,2,34.5293,0.0,True,3→150
150,3,2,24.3573,0.0,True,150→3
4,5,2,20.5898,0.0,True,4→5
5,4,2,12.6367,2e-05,True,5→4
4,6,2,15.2506,0.0,True,4→6
6,4,2,12.439,3e-05,True,6→4
4,7,2,9.1939,0.0003,True,4→7
7,4,2,11.4692,5e-05,True,7→4
4,8,2,33.2972,0.0,True,4→8
8,4,2,11.0585,7e-05,True,8→4
4,9,2,35.6882,0.0,True,4→9
9,4,2,8.4318,0.00055,True,9→4
4,10,3,20.8712,0.0,True,4→10
10,4,2,13.4104,1e-05,True,10→4
4,23,2,23.4181,0.0,True,4→23
23,4,2,13.3447,1e-05,True,23→4
4,26,2,15.8245,0.0,True,4→26
26,4,2,11.4004,6e-05,True,26→4
4,27,2,27.5029,0.0,True,4→27
27,4,2,13.8144,1e-05,True,27→4
4,28,2,25.0059,0.0,True,4→28
28,4,2,11.0625,7e-05,True,28→4
4,29,2,20.0809,0.0,True,4→29
29,4,2,10.9919,8e-05,True,29→4
4,61,2,24.7972,0.0,True,4→61
61,4,2,11.729,4e-05,True,61→4
4,68,2,41.7929,0.0,True,4→68
68,4,2,12.3378,3e-05,True,68→4
4,69,1,74.6188,0.0,True,4→69
69,4,2,15.0826,0.0,True,69→4
4,131,2,19.6716,0.0,True,4→131
131,4,2,13.9189,1e-05,True,131→4
4,134,2,24.3821,0.0,True,4→134
134,4,2,13.6305,1e-05,True,134→4
4,135,3,23.1287,0.0,True,4→135
135,4,2,13.1281,2e-05,True,135→4
4,136,2,18.1836,0.0,True,4→136
136,4,2,13.5753,1e-05,True,136→4
4,139,2,38.6928,0.0,True,4→139
139,4,2,12.458,3e-05,True,139→4
4,141,2,24.5455,0.0,True,4→141
141,4,2,12.9427,2e-05,True,141→4
4,142,2,20.0749,0.0,True,4→142
142,4,2,12.8987,2e-05,True,142→4
4,143,2,25.2286,0.0,True,4→143
143,4,2,14.5903,1e-05,True,143→4
4,144,2,24.8267,0.0,True,4→144
144,4,2,13.0686,2e-05,True,144→4
