district_id,best_lag_months,F_stat,p_value,significant_05,significant_10
1,1,30.2143,0.0,True,True
2,3,15.8315,0.0,True,True
3,4,11.5305,0.0,True,True
4,2,10.5849,0.00011,True,True
5,4,12.5322,0.0,True,True
6,5,8.5158,1e-05,True,True
7,3,8.3626,0.0001,True,True
8,3,18.699,0.0,True,True
9,4,11.9317,0.0,True,True
10,2,29.6825,0.0,True,True
11,2,25.1594,0.0,True,True
12,3,11.5678,0.0,True,True
13,2,11.2267,7e-05,True,True
14,1,43.0714,0.0,True,True
15,3,16.0554,0.0,True,True
16,2,22.9194,0.0,True,True
17,2,22.3534,0.0,True,True
18,1,22.3735,1e-05,True,True
19,2,10.6762,0.0001,True,True
20,3,21.3757,0.0,True,True
21,2,19.1118,0.0,True,True
22,3,25.5559,0.0,True,True
23,1,32.1751,0.0,True,True
24,3,14.7636,0.0,True,True
25,3,23.4353,0.0,True,True
26,2,14.8875,0.0,True,True
27,1,32.1561,0.0,True,True
28,4,14.4615,0.0,True,True
29,3,13.8416,0.0,True,True
30,5,5.7331,0.00025,True,True
31,1,28.068,0.0,True,True
32,2,25.8788,0.0,True,True
33,3,8.3161,0.0001,True,True
34,3,13.4455,0.0,True,True
35,5,10.3752,0.0,True,True
36,2,12.7686,2e-05,True,True
37,3,15.8462,0.0,True,True
38,4,14.1058,0.0,True,True
39,4,7.8588,4e-05,True,True
40,3,12.9749,0.0,True,True
41,4,20.6335,0.0,True,True
42,3,14.0292,0.0,True,True
43,4,9.1111,1e-05,True,True
44,6,10.8979,0.0,True,True
45,3,9.2283,4e-05,True,True
46,4,11.5179,0.0,True,True
47,3,14.7256,0.0,True,True
48,2,15.53,0.0,True,True
49,2,17.3306,0.0,True,True
50,1,30.5088,0.0,True,True
51,2,22.4489,0.0,True,True
52,3,21.9718,0.0,True,True
53,3,21.0082,0.0,True,True
54,2,18.8859,0.0,True,True
55,2,22.5132,0.0,True,True
56,2,13.1504,2e-05,True,True
57,3,10.0594,2e-05,True,True
58,2,17.5491,0.0,True,True
59,2,20.3862,0.0,True,True
60,3,21.2374,0.0,True,True
61,2,25.1487,0.0,True,True
62,2,17.4697,0.0,True,True
63,3,11.8212,0.0,True,True
64,4,7.5452,6e-05,True,True
65,3,20.8567,0.0,True,True
66,4,12.7372,0.0,True,True
67,5,5.8952,0.0002,True,True
68,3,24.9108,0.0,True,True
69,2,38.3285,0.0,True,True
70,3,13.5304,0.0,True,True
71,2,21.0318,0.0,True,True
72,3,13.7993,0.0,True,True
73,4,5.2723,0.00108,True,True
74,5,10.4931,0.0,True,True
75,2,24.9687,0.0,True,True
76,1,40.853,0.0,True,True
77,3,11.8707,0.0,True,True
78,4,16.3246,0.0,True,True
79,3,12.0854,0.0,True,True
80,2,9.7041,0.00021,True,True
81,2,39.44,0.0,True,True
82,2,28.2765,0.0,True,True
83,2,31.7288,0.0,True,True
84,4,6.5431,0.0002,True,True
85,2,9.8733,0.00018,True,True
86,1,15.7663,0.00018,True,True
87,2,19.6167,0.0,True,True
88,3,20.3876,0.0,True,True
89,3,20.4636,0.0,True,True
90,2,24.6168,0.0,True,True
91,2,11.2575,6e-05,True,True
92,4,16.2605,0.0,True,True
93,4,17.5678,0.0,True,True
94,2,6.7687,0.00215,True,True
95,2,8.6389,0.00048,True,True
96,2,16.813,0.0,True,True
97,2,14.5406,1e-05,True,True
98,2,25.1803,0.0,True,True
99,2,10.2395,0.00014,True,True
100,2,13.67,1e-05,True,True
101,3,23.6049,0.0,True,True
102,3,15.7078,0.0,True,True
103,2,20.0498,0.0,True,True
104,4,15.4717,0.0,True,True
105,2,13.3247,1e-05,True,True
106,5,8.0609,1e-05,True,True
107,3,11.4282,0.0,True,True
108,2,24.483,0.0,True,True
109,5,10.357,0.0,True,True
110,2,24.0535,0.0,True,True
111,3,11.6538,0.0,True,True
112,4,13.6704,0.0,True,True
113,2,15.1061,0.0,True,True
114,3,12.5858,0.0,True,True
115,4,17.7645,0.0,True,True
116,1,21.561,2e-05,True,True
117,6,5.577,0.00016,True,True
118,2,20.2341,0.0,True,True
119,6,11.9296,0.0,True,True
120,4,19.8724,0.0,True,True
121,3,18.496,0.0,True,True
122,3,10.026,2e-05,True,True
123,2,21.0141,0.0,True,True
124,2,15.8185,0.0,True,True
125,6,5.154,0.00032,True,True
126,2,21.5943,0.0,True,True
127,3,16.6725,0.0,True,True
128,3,27.6694,0.0,True,True
129,2,22.0852,0.0,True,True
130,4,13.9402,0.0,True,True
131,4,16.1689,0.0,True,True
132,6,8.3463,0.0,True,True
133,1,23.0195,1e-05,True,True
134,3,18.48,0.0,True,True
135,2,31.5639,0.0,True,True
136,2,17.651,0.0,True,True
137,4,11.9206,0.0,True,True
138,3,28.9108,0.0,True,True
139,2,30.3727,0.0,True,True
140,3,11.0561,1e-05,True,True
141,3,13.238,0.0,True,True
142,3,17.4057,0.0,True,True
143,5,13.9374,0.0,True,True
144,3,10.4938,1e-05,True,True
145,4,19.3378,0.0,True,True
146,1,33.2082,0.0,True,True
147,3,18.7229,0.0,True,True
148,3,26.2592,0.0,True,True
149,2,18.893,0.0,True,True
150,3,23.4138,0.0,True,True
