source_id,target_id,distance_km,weight,edge_type
1,2,11.7,0.085541,PROXIMATE_TO
1,3,9.7,0.102938,PROXIMATE_TO
1,4,16.3,0.061394,PROXIMATE_TO
1,5,24.0,0.041626,PROXIMATE_TO
1,6,15.5,0.064584,PROXIMATE_TO
1,7,4.4,0.228134,PROXIMATE_TO
1,8,22.0,0.045414,PROXIMATE_TO
1,9,27.6,0.036204,PROXIMATE_TO
1,10,7.0,0.142288,PROXIMATE_TO
1,23,185.9,0.00538,PROXIMATE_TO
1,26,23.7,0.042173,PROXIMATE_TO
1,27,17.1,0.058611,PROXIMATE_TO
1,28,62.2,0.016087,PROXIMATE_TO
1,29,213.9,0.004675,PROXIMATE_TO
1,61,242.1,0.00413,PROXIMATE_TO
1,68,155.1,0.006448,PROXIMATE_TO
1,69,244.8,0.004085,PROXIMATE_TO
1,94,292.1,0.003423,PROXIMATE_TO
1,131,279.5,0.003578,PROXIMATE_TO
1,134,188.8,0.005296,PROXIMATE_TO
1,135,268.0,0.003731,PROXIMATE_TO
1,136,228.4,0.004378,PROXIMATE_TO
1,141,32.7,0.03062,PROXIMATE_TO
1,142,33.8,0.029592,PROXIMATE_TO
1,143,80.8,0.012369,PROXIMATE_TO
1,144,192.6,0.005191,PROXIMATE_TO
1,145,118.3,0.008452,PROXIMATE_TO
1,146,150.1,0.006661,PROXIMATE_TO
1,147,67.3,0.014854,PROXIMATE_TO
1,148,38.7,0.025847,PROXIMATE_TO
1,149,158.4,0.006311,PROXIMATE_TO
1,150,107.0,0.009345,PROXIMATE_TO
2,3,8.7,0.114708,PROXIMATE_TO
2,4,27.6,0.036226,PROXIMATE_TO
2,5,17.2,0.058008,PROXIMATE_TO
2,6,21.7,0.046024,PROXIMATE_TO
2,7,12.8,0.078256,PROXIMATE_TO
2,8,31.4,0.031823,PROXIMATE_TO
2,9,31.3,0.031967,PROXIMATE_TO
2,10,7.1,0.140249,PROXIMATE_TO
2,23,174.4,0.005735,PROXIMATE_TO
2,26,24.0,0.041726,PROXIMATE_TO
2,27,5.4,0.18609,PROXIMATE_TO
2,28,63.1,0.015859,PROXIMATE_TO
2,29,206.5,0.004843,PROXIMATE_TO
2,61,238.2,0.004197,PROXIMATE_TO
2,68,149.0,0.00671,PROXIMATE_TO
2,69,246.4,0.004059,PROXIMATE_TO
2,94,280.9,0.00356,PROXIMATE_TO
2,131,291.1,0.003435,PROXIMATE_TO
2,134,200.4,0.004989,PROXIMATE_TO
2,135,279.2,0.003582,PROXIMATE_TO
2,136,239.3,0.004178,PROXIMATE_TO
2,141,30.9,0.032362,PROXIMATE_TO
2,142,23.2,0.043056,PROXIMATE_TO
2,143,92.1,0.010854,PROXIMATE_TO
2,144,203.6,0.004911,PROXIMATE_TO
2,145,129.4,0.007725,PROXIMATE_TO
2,146,160.1,0.006245,PROXIMATE_TO
2,147,77.0,0.01298,PROXIMATE_TO
2,148,50.4,0.019853,PROXIMATE_TO
2,149,168.1,0.00595,PROXIMATE_TO
2,150,114.8,0.008708,PROXIMATE_TO
3,4,22.1,0.045245,PROXIMATE_TO
3,5,14.4,0.069605,PROXIMATE_TO
3,6,13.3,0.0753,PROXIMATE_TO
3,7,13.4,0.074562,PROXIMATE_TO
3,8,23.8,0.042002,PROXIMATE_TO
3,9,22.6,0.044157,PROXIMATE_TO
3,10,11.1,0.089887,PROXIMATE_TO
3,23,178.3,0.005609,PROXIMATE_TO
3,26,30.2,0.033076,PROXIMATE_TO
3,27,12.5,0.079976,PROXIMATE_TO
3,28,69.5,0.014393,PROXIMATE_TO
3,29,215.2,0.004647,PROXIMATE_TO
3,61,233.2,0.004289,PROXIMATE_TO
3,68,145.5,0.006872,PROXIMATE_TO
3,69,238.6,0.004191,PROXIMATE_TO
3,94,283.9,0.003523,PROXIMATE_TO
3,131,286.9,0.003486,PROXIMATE_TO
3,134,196.4,0.005093,PROXIMATE_TO
3,135,272.3,0.003672,PROXIMATE_TO
3,136,237.2,0.004215,PROXIMATE_TO
3,141,24.1,0.041467,PROXIMATE_TO
3,142,25.4,0.039295,PROXIMATE_TO
3,143,89.3,0.011194,PROXIMATE_TO
3,144,201.4,0.004965,PROXIMATE_TO
3,145,127.0,0.007876,PROXIMATE_TO
3,146,152.3,0.006568,PROXIMATE_TO
3,147,69.1,0.014468,PROXIMATE_TO
3,148,46.1,0.021685,PROXIMATE_TO
3,149,168.0,0.005953,PROXIMATE_TO
3,150,106.2,0.009413,PROXIMATE_TO
4,5,34.9,0.028629,PROXIMATE_TO
4,6,14.8,0.067354,PROXIMATE_TO
4,7,17.9,0.055799,PROXIMATE_TO
4,8,10.2,0.098203,PROXIMATE_TO
4,9,25.2,0.039745,PROXIMATE_TO
4,10,23.1,0.043225,PROXIMATE_TO
4,23,200.4,0.004991,PROXIMATE_TO
4,26,35.2,0.028433,PROXIMATE_TO
4,27,32.9,0.030434,PROXIMATE_TO
4,28,69.4,0.0144,PROXIMATE_TO
4,29,228.1,0.004384,PROXIMATE_TO
4,61,243.2,0.004112,PROXIMATE_TO
4,68,159.8,0.006257,PROXIMATE_TO
4,69,238.3,0.004197,PROXIMATE_TO
4,131,264.8,0.003777,PROXIMATE_TO
4,134,174.3,0.005736,PROXIMATE_TO
4,135,251.7,0.003972,PROXIMATE_TO
4,136,216.3,0.004623,PROXIMATE_TO
4,139,290.7,0.003441,PROXIMATE_TO
4,141,36.5,0.027409,PROXIMATE_TO
4,142,47.5,0.021062,PROXIMATE_TO
4,143,68.2,0.014666,PROXIMATE_TO
4,144,180.4,0.005543,PROXIMATE_TO
4,145,105.9,0.009442,PROXIMATE_TO
4,146,134.3,0.007446,PROXIMATE_TO
4,147,52.0,0.019228,PROXIMATE_TO
4,148,24.3,0.041218,PROXIMATE_TO
4,149,149.7,0.006682,PROXIMATE_TO
4,150,93.5,0.010701,PROXIMATE_TO
5,6,21.9,0.045572,PROXIMATE_TO
5,7,27.4,0.036551,PROXIMATE_TO
5,8,33.5,0.029873,PROXIMATE_TO
5,9,24.0,0.041628,PROXIMATE_TO
5,10,23.4,0.042675,PROXIMATE_TO
5,23,166.2,0.006018,PROXIMATE_TO
5,26,41.2,0.024296,PROXIMATE_TO
5,27,15.9,0.06278,PROXIMATE_TO
5,28,80.0,0.012494,PROXIMATE_TO
5,29,215.9,0.004632,PROXIMATE_TO
5,61,221.0,0.004524,PROXIMATE_TO
5,68,132.0,0.007576,PROXIMATE_TO
5,69,231.6,0.004318,PROXIMATE_TO
5,94,270.9,0.003692,PROXIMATE_TO
5,131,299.2,0.003342,PROXIMATE_TO
5,134,208.9,0.004787,PROXIMATE_TO
5,135,280.9,0.00356,PROXIMATE_TO
5,136,251.0,0.003983,PROXIMATE_TO
5,141,16.4,0.060869,PROXIMATE_TO
5,142,14.4,0.069366,PROXIMATE_TO
5,143,103.0,0.00971,PROXIMATE_TO
5,144,215.2,0.004647,PROXIMATE_TO
5,145,140.7,0.007108,PROXIMATE_TO
5,146,158.3,0.006316,PROXIMATE_TO
5,147,75.8,0.013186,PROXIMATE_TO
5,148,59.2,0.016896,PROXIMATE_TO
5,149,182.3,0.005484,PROXIMATE_TO
5,150,108.7,0.009199,PROXIMATE_TO
6,7,19.7,0.050837,PROXIMATE_TO
6,8,11.6,0.086424,PROXIMATE_TO
6,9,12.5,0.079995,PROXIMATE_TO
6,10,21.3,0.046843,PROXIMATE_TO
6,23,188.1,0.005316,PROXIMATE_TO
6,26,39.2,0.025518,PROXIMATE_TO
6,27,25.8,0.038794,PROXIMATE_TO
6,28,77.3,0.012943,PROXIMATE_TO
6,29,228.0,0.004386,PROXIMATE_TO
6,61,229.8,0.004352,PROXIMATE_TO
6,68,145.3,0.006884,PROXIMATE_TO
6,69,229.5,0.004357,PROXIMATE_TO
6,94,292.5,0.003419,PROXIMATE_TO
6,131,277.3,0.003606,PROXIMATE_TO
6,134,187.2,0.005342,PROXIMATE_TO
6,135,259.9,0.003847,PROXIMATE_TO
6,136,230.6,0.004337,PROXIMATE_TO
6,141,21.7,0.046079,PROXIMATE_TO
6,142,35.8,0.027906,PROXIMATE_TO
6,143,82.5,0.012115,PROXIMATE_TO
6,144,194.7,0.005137,PROXIMATE_TO
6,145,120.2,0.008317,PROXIMATE_TO
6,146,139.1,0.007189,PROXIMATE_TO
6,147,56.0,0.017862,PROXIMATE_TO
6,148,38.3,0.026101,PROXIMATE_TO
6,149,164.5,0.006079,PROXIMATE_TO
6,150,93.1,0.010737,PROXIMATE_TO
7,8,25.1,0.039854,PROXIMATE_TO
7,9,31.9,0.031316,PROXIMATE_TO
7,10,6.1,0.163607,PROXIMATE_TO
7,23,187.0,0.005349,PROXIMATE_TO
7,26,19.6,0.051111,PROXIMATE_TO
7,27,18.0,0.05565,PROXIMATE_TO
7,28,57.8,0.017301,PROXIMATE_TO
7,29,210.8,0.004744,PROXIMATE_TO
7,61,246.3,0.004059,PROXIMATE_TO
7,68,158.9,0.006292,PROXIMATE_TO
7,69,249.1,0.004014,PROXIMATE_TO
7,94,293.6,0.003406,PROXIMATE_TO
7,131,278.8,0.003587,PROXIMATE_TO
7,134,188.0,0.005318,PROXIMATE_TO
7,135,269.1,0.003716,PROXIMATE_TO
7,136,226.5,0.004414,PROXIMATE_TO
7,141,36.9,0.027091,PROXIMATE_TO
7,142,35.9,0.02789,PROXIMATE_TO
7,143,79.4,0.012589,PROXIMATE_TO
7,144,190.8,0.00524,PROXIMATE_TO
7,145,116.7,0.00857,PROXIMATE_TO
7,146,152.2,0.006569,PROXIMATE_TO
7,147,69.8,0.014335,PROXIMATE_TO
7,148,38.4,0.026016,PROXIMATE_TO
7,149,155.7,0.006424,PROXIMATE_TO
7,150,110.2,0.009074,PROXIMATE_TO
8,9,17.1,0.058445,PROXIMATE_TO
8,10,29.0,0.034524,PROXIMATE_TO
8,23,199.6,0.00501,PROXIMATE_TO
8,26,43.9,0.022765,PROXIMATE_TO
8,27,36.1,0.027696,PROXIMATE_TO
8,28,79.4,0.012591,PROXIMATE_TO
8,29,235.8,0.00424,PROXIMATE_TO
8,61,234.1,0.004272,PROXIMATE_TO
8,68,152.2,0.006571,PROXIMATE_TO
8,69,228.1,0.004384,PROXIMATE_TO
8,131,266.0,0.003759,PROXIMATE_TO
8,134,176.0,0.005682,PROXIMATE_TO
8,135,248.6,0.004022,PROXIMATE_TO
8,136,220.4,0.004536,PROXIMATE_TO
8,139,289.6,0.003453,PROXIMATE_TO
8,141,30.5,0.032839,PROXIMATE_TO
8,142,47.4,0.021097,PROXIMATE_TO
8,143,72.7,0.013751,PROXIMATE_TO
8,144,184.5,0.005419,PROXIMATE_TO
8,145,110.2,0.009071,PROXIMATE_TO
8,146,128.7,0.007769,PROXIMATE_TO
8,147,45.6,0.02191,PROXIMATE_TO
8,148,28.7,0.034895,PROXIMATE_TO
8,149,156.3,0.006396,PROXIMATE_TO
8,150,85.1,0.011749,PROXIMATE_TO
9,10,32.7,0.030566,PROXIMATE_TO
9,23,186.8,0.005354,PROXIMATE_TO
9,26,51.3,0.019507,PROXIMATE_TO
9,27,34.0,0.029384,PROXIMATE_TO
9,28,89.7,0.011151,PROXIMATE_TO
9,29,237.4,0.004212,PROXIMATE_TO
9,61,218.1,0.004586,PROXIMATE_TO
9,68,135.1,0.0074,PROXIMATE_TO
9,69,217.2,0.004605,PROXIMATE_TO
