district_id,district_name,state,lat,lon,community,degree_centrality,betweenness_centrality,eigenvector_centrality,pm25_mean,resp_mean,resp_rate_mean
1,Central Delhi,Delhi,28.6990095,77.2314634,0,0.21477,0.0,0.36222,,,
2,East Delhi,Delhi,28.6117432,77.2982794,0,0.21477,0.0,0.33718,,,
3,New Delhi,Delhi,28.6138954,77.2090057,0,0.21477,0.0,0.3065,,,
4,North Delhi,Delhi,28.7872279,77.0980903,0,0.21477,0.00236,0.20816,,,
5,South Delhi,Delhi,28.4851694,77.1963652,0,0.21477,0.00027,0.20828,,,
6,West Delhi,Delhi,28.6545456,77.0810555,0,0.21477,0.0,0.23813,,,
7,North East Delhi,Delhi,28.723308,77.2668565,0,0.21477,0.0,0.35105,,,
8,North West Delhi,Delhi,28.7379145,77.0100626,0,0.21477,0.00045,0.19661,,,
9,South West Delhi,Delhi,28.5864481,76.979153,0,0.21477,0.0,0.18047,,,
10,Shahdara,Delhi,28.6758661,77.2985078,0,0.21477,0.0,0.35048,,,
11,Mumbai,Maharashtra,19.054999,72.8692035,1,0.04698,0.01651,0.0,30.857142857142858,2186.942857142857,867.6037946827062
12,Pune,Maharashtra,18.5213738,73.8545071,1,0.04698,0.00154,0.0,45.0,659.8142857142857,44.67774122372146
13,Nagpur,Maharashtra,21.1498134,79.0820556,3,0.04698,0.32369,0.0,,,
14,Thane,Maharashtra,19.3653598,73.3685437,1,0.04698,0.01034,0.0,58.0,175.97142857142856,48.799619681483236
15,Nashik,Maharashtra,20.0112475,73.7902364,1,0.0604,0.075,0.0,40.0,304.6857142857143,71.78991083819636
16,Aurangabad,Maharashtra,19.877263,75.3390241,1,0.04698,0.01215,0.0,,,
17,Solapur,Maharashtra,17.8499067,75.2763203,1,0.07383,0.12117,0.0,36.0,188.14285714285714,19.788805215950408
18,Kolhapur,Maharashtra,16.7028412,74.2405329,1,0.04027,0.00453,0.0,30.0,128.42857142857142,24.44940564011617
19,Amravati,Maharashtra,21.1545412,77.6442962,3,0.0604,0.03728,0.0,38.0,391.84285714285716,56.90568270533213
20,Nanded,Maharashtra,19.0942729,77.4832628,3,0.09396,0.22891,0.0,34.0,16.0,1.1607172652340514
21,Lucknow,Uttar Pradesh,26.8381,80.9346001,2,0.0604,0.12897,0.00032,103.71428571428571,1699.5714285714287,1894.7707067843526
22,Kanpur Nagar,Uttar Pradesh,26.4410107,80.2652803,2,0.04698,0.00299,0.00037,,,
23,Agra,Uttar Pradesh,27.1752554,78.0098161,0,0.1745,0.06022,0.02769,133.56,1408.2142857142858,59.186174637972144
24,Varanasi,Uttar Pradesh,25.3356491,83.0076292,2,0.06711,0.0497,0.0,60.0,848.6666666666666,163.70853194084629
25,Allahabad,Uttar Pradesh,25.4381302,81.8338005,2,0.04698,0.00744,1e-05,,,
26,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967,0,0.21477,0.01388,0.16127,101.95285714285714,2300.342857142857,274.0460873412982
27,Noida,Uttar Pradesh,28.5706333,77.3272147,0,0.21477,0.00018,0.28475,,,
28,Meerut,Uttar Pradesh,29.0018557,77.7679671,0,0.19463,0.00054,0.07409,86.0,641.4833333333333,66.70597378000635
