district_id,year,quarter,ph,dissolved_oxygen_mg_l,bod_mg_l,total_coliform_mpn,turbidity_ntu,tds_mg_l
1,2019,1,6.65,4.13,7.89,783,29.64,251.7
1,2019,2,7.23,7.04,1.77,1056,8.18,330.7
1,2019,3,6.99,4.62,1.98,428,1.19,159.7
1,2019,4,7.82,6.61,9.37,555,19.32,336.0
1,2020,1,7.2,4.97,8.61,193,1.72,323.8
1,2020,2,7.02,4.14,7.14,1079,15.89,353.5
1,2020,3,8.24,4.24,1.99,717,2.86,181.4
1,2020,4,7.4,5.33,2.52,110,17.58,414.0
1,2021,1,7.16,7.17,0.5,1157,6.57,245.8
1,2021,2,7.51,5.81,5.75,1856,7.31,311.3
1,2021,3,7.17,4.65,3.68,1723,1.61,339.1
1,2021,4,7.2,2.9,8.74,89,4.32,320.6
1,2022,1,6.34,6.38,9.18,1592,20.96,319.5
1,2022,2,8.4,7.38,1.06,2005,2.15,247.6
1,2022,3,7.2,6.88,5.07,302,9.13,390.9
1,2022,4,6.55,4.79,1.78,1099,24.51,266.6
1,2023,1,7.4,6.81,2.78,2337,9.98,243.5
1,2023,2,6.71,5.81,2.32,875,6.73,305.4
1,2023,3,7.29,6.57,6.18,61,3.54,308.8
1,2023,4,6.51,5.94,2.28,1624,1.09,260.2
2,2019,1,6.71,5.36,3.1,750,0.5,246.0
2,2019,2,6.29,4.29,2.11,198,2.78,295.7
2,2019,3,7.51,4.07,3.62,336,3.1,213.4
2,2019,4,7.23,4.38,0.5,202,0.5,290.1
2,2020,1,7.41,4.64,0.5,0,11.59,247.4
2,2020,2,7.67,7.67,4.14,394,0.5,246.1
2,2020,3,7.84,2.64,3.48,60,0.5,294.2
2,2020,4,7.0,3.98,0.78,523,0.5,408.0
2,2021,1,6.85,5.45,5.43,152,48.51,423.1
2,2021,2,8.29,3.29,2.27,807,8.79,340.1
2,2021,3,7.14,4.06,3.03,21,5.43,163.2
2,2021,4,8.08,6.41,0.5,225,1.3,256.0
2,2022,1,7.23,4.2,5.47,227,3.49,421.1
2,2022,2,6.94,4.41,1.89,196,0.5,417.0
2,2022,3,9.0,4.51,3.24,136,8.45,320.0
2,2022,4,6.53,5.16,1.09,49,5.08,360.3
2,2023,1,6.92,7.08,12.62,290,10.87,460.0
2,2023,2,6.96,5.99,5.24,37,3.29,280.3
2,2023,3,7.32,5.59,2.24,54,7.19,264.9
2,2023,4,7.63,6.12,0.5,190,9.32,333.7
3,2019,1,7.39,5.58,2.81,652,12.5,251.8
3,2019,2,7.17,4.92,8.02,1399,2.4,354.7
3,2019,3,6.43,4.98,9.27,521,28.73,346.9
3,2019,4,7.41,4.82,15.37,384,11.29,77.8
3,2020,1,7.27,4.66,2.72,564,19.41,224.0
3,2020,2,6.72,5.78,0.5,140,0.81,209.3
3,2020,3,6.6,6.57,1.89,1763,4.63,217.8
3,2020,4,7.11,5.83,0.95,1613,1.01,329.4
3,2021,1,7.57,3.57,7.11,228,0.8,350.9
3,2021,2,6.83,2.23,3.1,169,0.85,300.8
3,2021,3,7.47,4.13,1.39,859,9.14,431.0
3,2021,4,7.01,4.14,5.17,1862,6.65,301.0
3,2022,1,7.26,5.01,0.97,69,2.41,249.4
3,2022,2,7.11,5.77,1.15,39,41.43,416.1
3,2022,3,6.95,5.66,14.61,50,15.88,382.5
3,2022,4,8.02,4.35,1.11,2736,1.78,207.2
3,2023,1,7.03,5.01,3.24,1334,27.44,310.3
3,2023,2,6.52,5.25,2.81,829,16.6,399.2
3,2023,3,6.52,5.37,6.11,447,7.05,249.8
3,2023,4,7.17,7.81,1.59,2013,10.04,275.8
4,2019,1,7.47,5.9,3.4,29,9.02,371.2
4,2019,2,7.23,4.16,1.12,398,2.46,106.2
4,2019,3,6.81,3.82,0.7,27,0.6,276.8
4,2019,4,7.07,4.07,2.79,112,1.5,371.0
4,2020,1,7.66,3.68,1.56,277,2.44,244.4
4,2020,2,8.1,2.97,2.53,172,4.83,381.3
4,2020,3,7.62,4.69,6.2,704,1.29,161.2
4,2020,4,7.5,6.09,5.17,226,2.59,261.0
4,2021,1,7.89,3.42,8.04,160,0.5,304.3
4,2021,2,7.8,4.69,0.5,54,0.56,252.1
4,2021,3,6.28,3.89,2.21,3,2.56,379.2
4,2021,4,7.02,4.94,7.39,10,11.37,371.7
4,2022,1,7.49,5.75,9.11,238,4.15,420.9
4,2022,2,7.15,5.4,3.33,365,3.3,261.7
4,2022,3,6.78,4.89,0.5,181,6.25,531.8
4,2022,4,7.5,5.12,2.21,845,5.29,329.3
4,2023,1,7.48,4.34,10.72,496,0.65,279.5
4,2023,2,8.01,6.82,2.56,276,7.5,275.2
4,2023,3,7.49,5.2,1.44,625,5.41,293.3
4,2023,4,7.64,2.75,4.23,144,5.53,394.0
5,2019,1,7.16,5.3,0.5,826,4.5,205.6
5,2019,2,7.81,5.49,2.6,177,2.59,274.3
5,2019,3,7.98,5.35,0.52,201,3.26,334.1
5,2019,4,7.390000000000001,5.34,0.5,995,16.62,330.7
5,2020,1,6.94,5.72,18.97,1844,3.84,347.8
5,2020,2,7.91,4.57,7.76,605,4.48,238.3
5,2020,3,7.2,5.64,1.78,85,0.5,250.7
5,2020,4,6.84,3.94,4.99,236,1.06,439.8
5,2021,1,8.07,4.31,0.5,641,2.22,105.8
5,2021,2,7.46,3.96,3.16,9,18.33,393.3
5,2021,3,6.91,6.67,3.29,418,0.65,328.8
5,2021,4,7.34,4.87,7.33,835,13.98,508.2
5,2022,1,7.52,2.75,2.09,296,3.45,248.1
5,2022,2,8.58,5.34,2.94,7027,3.35,123.0
5,2022,3,6.65,4.39,0.5,1103,3.01,189.1
5,2022,4,7.37,6.49,2.69,552,6.68,427.7
5,2023,1,7.390000000000001,5.08,0.99,135,14.32,252.3
5,2023,2,7.91,5.64,6.86,673,1.02,203.5
5,2023,3,7.38,6.0,8.73,795,0.5,326.5
5,2023,4,7.4,5.62,2.69,855,12.5,265.2
6,2019,1,6.79,4.93,1.78,952,14.96,376.2
6,2019,2,7.28,3.6,0.5,506,3.52,193.7
6,2019,3,7.3,6.02,4.43,207,5.09,337.3
6,2019,4,7.68,4.56,2.72,155,5.04,524.1
6,2020,1,7.02,3.64,0.5,81,0.7,242.5
6,2020,2,6.87,4.81,7.44,258,4.01,327.2
6,2020,3,6.67,5.4,14.24,147,6.22,164.6
6,2020,4,7.84,3.24,2.07,0,3.47,333.9
6,2021,1,7.74,4.94,0.5,128,1.76,210.1
6,2021,2,7.04,5.38,1.29,304,2.14,387.3
6,2021,3,7.62,4.94,4.3,89,0.5,373.3
6,2021,4,6.48,5.67,4.55,276,2.01,428.3
6,2022,1,6.82,4.27,0.5,329,0.66,294.8
6,2022,2,7.87,5.88,3.32,488,3.95,374.9
6,2022,3,7.73,2.4,4.0,335,5.55,393.1
6,2022,4,6.48,5.78,0.85,24,3.54,404.4
6,2023,1,8.1,5.02,6.62,648,1.11,340.7
6,2023,2,6.34,5.13,3.31,233,7.72,213.7
6,2023,3,7.08,3.28,1.09,24,0.91,218.0
6,2023,4,6.54,5.78,1.15,409,1.82,308.4
7,2019,1,6.56,4.865,0.5,52,8.21,263.7
7,2019,2,6.62,6.34,6.11,56,1.99,249.6
7,2019,3,8.04,4.865,0.5,321,2.15,234.8
7,2019,4,6.39,5.8,2.8,32,1.06,257.3
7,2020,1,7.35,5.48,8.39,43,1.78,341.7
7,2020,2,7.23,5.18,2.94,787,5.08,347.5
7,2020,3,6.95,3.84,4.55,271,2.42,482.0
7,2020,4,7.99,3.55,1.51,985,1.33,206.6
7,2021,1,7.16,5.86,0.7,1453,12.51,249.2
7,2021,2,7.16,6.06,5.06,213,4.65,322.8
7,2021,3,6.9,4.865,8.25,72,6.4,161.6
7,2021,4,6.75,4.58,1.24,240,2.28,281.5
7,2022,1,6.76,4.46,3.68,8,2.5,238.9
7,2022,2,7.16,3.51,2.01,10,2.47,227.5
7,2022,3,7.75,4.9,3.66,79,1.14,410.8
7,2022,4,7.3,4.83,0.5,272,0.5,401.8
7,2023,1,7.11,5.09,6.64,132,0.5,307.8
7,2023,2,7.85,3.1,3.41,154,3.44,418.4
7,2023,3,7.23,4.865,2.9,285,0.5,266.5
7,2023,4,7.16,3.62,0.5,280,3.12,187.9
8,2019,1,8.11,5.23,1.45,327,3.84,329.6
8,2019,2,7.14,3.8,0.95,525,2.57,230.6
8,2019,3,6.59,4.94,3.76,2394,2.52,422.3
8,2019,4,7.05,2.7,5.21,1415,14.96,395.3
8,2020,1,7.7,4.76,0.7,1753,2.18,221.6
8,2020,2,7.24,6.26,14.76,978,1.03,361.0
8,2020,3,6.7,6.1,12.74,1290,1.76,308.7
8,2020,4,7.92,5.84,9.21,724,1.76,387.3
8,2021,1,7.59,5.56,9.46,46,20.2,407.1
8,2021,2,6.03,4.0,0.5,1338,6.05,294.9
8,2021,3,6.63,2.8,7.96,260,1.33,220.0
8,2021,4,7.06,4.41,22.65,179,0.9,273.1
8,2022,1,6.71,7.0,0.5,719,1.55,299.8
8,2022,2,7.0,3.55,2.84,396,0.72,394.5
8,2022,3,7.83,6.5,1.8,613,11.48,195.0
8,2022,4,6.72,3.26,10.7,515,18.26,318.5
8,2023,1,7.26,5.24,16.96,351,12.35,247.7
8,2023,2,5.99,6.05,7.34,823,0.79,346.5
8,2023,3,7.58,4.87,3.19,1361,8.67,421.1
8,2023,4,8.18,2.84,1.73,49,2.77,328.1
9,2019,1,7.34,4.8,2.1,3,4.47,253.4
9,2019,2,7.17,5.09,6.51,132,7.8,370.4
9,2019,3,6.86,6.1,0.5,96,1.5,324.8
9,2019,4,7.22,4.7,0.7,270,7.0,331.3
9,2020,1,6.12,8.35,1.61,264,0.62,361.5
9,2020,2,6.61,5.69,0.9,179,1.47,230.9
9,2020,3,7.44,5.44,0.83,87,5.09,326.4
9,2020,4,7.28,1.43,0.5,34,10.64,369.3
9,2021,1,7.78,5.09,0.8,164,0.5,348.7
9,2021,2,7.01,2.61,4.37,829,2.74,263.1
9,2021,3,7.28,5.69,1.81,240,4.71,199.4
9,2021,4,8.01,4.99,0.95,258,0.65,314.8
9,2022,1,6.37,3.27,3.18,241,6.1,469.1
9,2022,2,7.71,3.46,1.22,263,3.58,287.4
9,2022,3,6.92,5.18,0.63,93,2.34,361.1
9,2022,4,6.8,7.14,1.48,805,2.96,291.7
9,2023,1,7.98,5.08,2.03,333,4.23,373.2
9,2023,2,6.74,7.21,0.95,1101,0.79,351.5
9,2023,3,7.24,3.65,0.5,255,3.91,349.8
9,2023,4,7.26,7.2,0.78,272,0.5,315.1
10,2019,1,7.95,6.21,1.4,135,0.85,336.9
10,2019,2,7.12,5.44,2.16,116,5.31,303.6
10,2019,3,7.78,4.05,3.52,58,13.69,338.9
10,2019,4,7.94,4.62,0.74,74,12.48,378.3
10,2020,1,7.12,5.36,4.29,240,0.72,122.3
10,2020,2,6.83,1.91,7.16,501,1.17,365.1
10,2020,3,6.23,3.64,4.45,38,15.41,299.1
10,2020,4,7.64,4.76,1.87,13,8.22,351.3
10,2021,1,6.43,5.19,3.09,145,5.88,236.1
10,2021,2,6.92,7.69,0.5,0,0.5,261.3
10,2021,3,7.2,5.12,3.47,351,0.5,358.3
10,2021,4,6.93,6.83,0.56,110,0.5,356.7
10,2022,1,7.28,4.44,12.66,452,0.7,286.9
10,2022,2,7.19,5.44,2.58,59,2.54,363.5
10,2022,3,6.86,5.77,4.22,251,0.5,360.3
