Country,State,Year,City Name,Location Name,"Number Of Monitoring Days (UOM:Number), Scaling Factor:1","Minimum Concentration Of Nitrogen Dioxide (No2) (24-Hourly Average) (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1","Maximum Concentration Of Nitrogen Dioxide (No2) (24-Hourly Average) (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1","Concentration Of Nitrogen Dioxide (No2) (Annual Average) (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Port Blair,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Amaravati,,,,,11
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Anantapur,,,,,20
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Chittoor,,,,,11
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kadapa,,,,,22
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kakinada,,,,,16
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kurnool,,,,,17
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Rajahmundry/ Rajamahendravaram,,,,,16
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Srikakulam,,,,,20
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Tirupati,,,,,30
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Vijayawada,,,,,19
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Visakhapatnam,,,,,34
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Vizianagaram,,,,,20
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Naharlagun,,,,,
India,Assam,"Calendar Year (Jan - Dec), 2023",Bongaigaon,,,,,12
India,Assam,"Calendar Year (Jan - Dec), 2023",Brynihat,,,,,28
India,Assam,"Calendar Year (Jan - Dec), 2023",Guwahati,,,,,10
India,Assam,"Calendar Year (Jan - Dec), 2023",Nagaon,,,,,15
India,Assam,"Calendar Year (Jan - Dec), 2023",Nalbari,,,,,17
India,Assam,"Calendar Year (Jan - Dec), 2023",Silcher,,,,,11
India,Assam,"Calendar Year (Jan - Dec), 2023",Sivasagar,,,,,12
India,Assam,"Calendar Year (Jan - Dec), 2023",Tinsukia,,,,,12
India,Bihar,"Calendar Year (Jan - Dec), 2023",Araria,,,,,26
India,Bihar,"Calendar Year (Jan - Dec), 2023",Arrah,,,,,36
India,Bihar,"Calendar Year (Jan - Dec), 2023",Aurangabad,,,,,8
India,Bihar,"Calendar Year (Jan - Dec), 2023",Begusarai,,,,,39
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bettiah,,,,,24
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bhagalpur,,,,,33
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bihar Sharif,,,,,7
India,Bihar,"Calendar Year (Jan - Dec), 2023",Chhapra,,,,,20
India,Bihar,"Calendar Year (Jan - Dec), 2023",Gaya,,,,,21
India,Bihar,"Calendar Year (Jan - Dec), 2023",Hajipur,,,,,28
India,Bihar,"Calendar Year (Jan - Dec), 2023",Katihar,,,,,50
India,Bihar,"Calendar Year (Jan - Dec), 2023",Kishanganj,,,,,35
India,Bihar,"Calendar Year (Jan - Dec), 2023",Manguraha,,,,,31
India,Bihar,"Calendar Year (Jan - Dec), 2023",Motihari,,,,,49
India,Bihar,"Calendar Year (Jan - Dec), 2023",Munger,,,,,28
India,Bihar,"Calendar Year (Jan - Dec), 2023",Muzaffarpur,,,,,21
India,Bihar,"Calendar Year (Jan - Dec), 2023",Patna,,,,,32
India,Bihar,"Calendar Year (Jan - Dec), 2023",Purnia,,,,,28
India,Bihar,"Calendar Year (Jan - Dec), 2023",Rajgir,,,,,18
India,Bihar,"Calendar Year (Jan - Dec), 2023",Saharsa,,,,,7
India,Bihar,"Calendar Year (Jan - Dec), 2023",Samastipur,,,,,18
India,Bihar,"Calendar Year (Jan - Dec), 2023",Sasaram,,,,,26
India,Bihar,"Calendar Year (Jan - Dec), 2023",Siwan,,,,,47
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Chandigarh,,,,,25
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Bilaspur,,,,,10
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Chhal,,,,,16
