Country,State,Year,City Name,Location Name,"Number Of Monitoring Days (UOM:Number), Scaling Factor:1","Minimum Concentration Of Sulphur Dioxide (So2) (24-Hourly Average) (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1","Maximum Concentration Of Sulphur Dioxide (So2) (24-Hourly Average) (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1","Concentration Of Sulphur Dioxide (So2) (Annual Average) (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Port Blair,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Amaravati,,,,,14.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Anantapur,,,,,10.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Chittoor,,,,,5.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kadapa,,,,,4.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kakinada,,,,,8.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kurnool,,,,,7.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Rajahmundry/ Rajamahendravaram,,,,,10.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Srikakulam,,,,,9.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Tirupati,,,,,5.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Vijayawada,,,,,6.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Visakhapatnam,,,,,11.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Vizianagaram,,,,,9.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Naharlagun,,,,,
India,Assam,"Calendar Year (Jan - Dec), 2023",Bongaigaon,,,,,5.0
India,Assam,"Calendar Year (Jan - Dec), 2023",Brynihat,,,,,33.0
India,Assam,"Calendar Year (Jan - Dec), 2023",Guwahati,,,,,13.0
India,Assam,"Calendar Year (Jan - Dec), 2023",Nagaon,,,,,11.0
India,Assam,"Calendar Year (Jan - Dec), 2023",Nalbari,,,,,6.0
India,Assam,"Calendar Year (Jan - Dec), 2023",Silcher,,,,,6.0
India,Assam,"Calendar Year (Jan - Dec), 2023",Sivasagar,,,,,4.0
India,Assam,"Calendar Year (Jan - Dec), 2023",Tinsukia,,,,,6.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Araria,,,,,15.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Arrah,,,,,10.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Aurangabad,,,,,12.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Begusarai,,,,,18.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bettiah,,,,,9.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bhagalpur,,,,,17.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bihar Sharif,,,,,10.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Chhapra,,,,,17.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Gaya,,,,,12.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Hajipur,,,,,6.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Katihar,,,,,14.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Kishanganj,,,,,12.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Manguraha,,,,,5.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Motihari,,,,,7.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Munger,,,,,20.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Muzaffarpur,,,,,13.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Patna,,,,,8.0
