Country,State,Year,Station Code,Station Name,"Minimum Temperature For Ground Water In Celsius (UOM:Â°C(Centigrade)), Scaling Factor:1","Maximum Temperature For Ground Water In Celsius (UOM:Â°C(Centigrade)), Scaling Factor:1","Minimum Level Of Dissolved Oxygen (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Level Of Dissolved Oxygen (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum Potential Of Hydrogen Value In Water (UOM:pH), Scaling Factor:1","Maximum Potential Of Hydrogen Value In Water (UOM:pH), Scaling Factor:1","Minimum Conductivity Level (UOM:Ã‚Âµmhos/cm(micromhospercentimeter)), Scaling Factor:1","Maximum Conductivity Level (UOM:Ã‚Âµmhos/cm(micromhospercentimeter)), Scaling Factor:1","Minimum Biochemical Oxygen Demand (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Biochemical Oxygen Demand (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum  Of Nitrate N  (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum  Of Nitrate N (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum  Of Nitrate N + Nitrite N Required Required For Ground Water (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum  Of Nitrate N + Nitrite N Required Required For Ground Water (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum  Of Total Coliform Required For Ground Water (UOM:MPN/100ML(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum  Of Total Coliform Required For Ground Water (UOM:MPN/100ML(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum  Of Faecal Coliforms Required For Ground Water (UOM:MPN/100ML(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum   Of Faecal Coliforms Required For Ground Water (UOM:MPN/100ML(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum Level Of Faecal Streptococci Bacteria (UOM:MPN/100ML(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum Level Of Faecal Streptococci Bacteria (UOM:MPN/100ML(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum Concentration Of Total Dissolved Solids (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Concentration Of Total Dissolved Solids  (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum Concentration Of Fluoride Observed (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Concentration Of Fluoride Observed (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Nimum Concentration Of Arsenic Observed (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Concentration Of Arsenic Observed (UOM:mg/L(Milligramsperliter)), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",1513,"BORE WELL AT AUTONAGAR, VIJAYAWADA.( IN THE R/O OF MR SATYANARAYANA PLOT NO:79 H.NO:74-1-7/2C,AUTO NAGAR VIJAYAWADA)",24.0000000000000000,24.0000000000000000,,,7.0700000000000000,7.8600000000000000,2140.0000000000000000,2210.0000000000000000,2.2000000000000000,2.2000000000000000,,,1.38000000000000000000,3.4200000000000000,13.0000000000000000,20.0000000000000000,3.0000000000000000,4.0000000000000000,,,1260.0000000000000000,1328.0000000000000000,0.32000000000000000000,0.36000000000000000000,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",1514,"BORE WELL AT AUTONAGAR, VIJAYAWADA. ( IN THE R/O OF MR. VIJAY KUMAR)",25.0000000000000000,25.0000000000000000,,,7.2100000000000000,7.2600000000000000,1996.0000000000000000,2160.0000000000000000,2.0000000000000000,2.2000000000000000,,,3.6100000000000000,3.9900000000000000,11.0000000000000000,15.0000000000000000,3.0000000000000000,3.0000000000000000,,,1178.0000000000000000,1260.0000000000000000,0.68000000000000000000,0.71000000000000000000,0.00190000000000000000,0.00190000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",1516,"BOREWELL OF NAVLOK GARDENS, NELLORE TOWN",20.0000000000000000,21.0000000000000000,,,7.8500000000000000,8.0600000000000000,1270.0000000000000000,1340.0000000000000000,1.80000000000000000000,2.0000000000000000,,,1.31000000000000000000,1.43000000000000000000,14.0000000000000000,15.0000000000000000,3.0000000000000000,3.0000000000000000,,,750.0000000000000000,790.0000000000000000,0.26000000000000000000,0.30000000000000000000,0.00270000000000000000,0.00270000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",1517,"BOREWELL NEAR TUNGBHADRA RIVER, MAMIDALAPADU (V), KURNOOL (M)",21.0000000000000000,24.0000000000000000,,,7.2000000000000000,7.5000000000000000,2068.0000000000000000,6410.0000000000000000,1.20000000000000000000,1.20000000000000000000,,,3.1200000000000000,6.9100000000000000,53.0000000000000000,53.0000000000000000,9.0000000000000000,9.0000000000000000,,,1349.0000000000000000,3846.0000000000000000,0.50000000000000000000,1.20000000000000000000,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",1518,BOREWELL AT NANDYAL TOWN,23.0000000000000000,25.0000000000000000,,,6.5000000000000000,7.4000000000000000,6605.0000000000000000,8350.0000000000000000,1.20000000000000000000,1.20000000000000000000,,,2.8600000000000000,33.6200000000000000,40.0000000000000000,40.0000000000000000,5.0000000000000000,5.0000000000000000,,,4310.0000000000000000,5012.0000000000000000,0.60000000000000000000,1.40000000000000000000,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",1519,BOREWELL AT NAGIRI TOWN,25.0000000000000000,25.0000000000000000,,,6.5000000000000000,6.9000000000000000,1586.0000000000000000,1638.0000000000000000,,,,,5.9800000000000000,9.6300000000000000,62.0000000000000000,62.0000000000000000,8.0000000000000000,8.0000000000000000,,,952.0000000000000000,1069.0000000000000000,0.50000000000000000000,0.60000000000000000000,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",1520,BOREWELL NEAR SWARNAMUKHI RIVER AT SRIKALAHASTI TOWN,24.0000000000000000,26.0000000000000000,,,7.0000000000000000,7.1000000000000000,775.0000000000000000,873.0000000000000000,,,,,0.62000000000000000000,2.3400000000000000,34.0000000000000000,34.0000000000000000,2.0000000000000000,2.0000000000000000,,,465.0000000000000000,570.0000000000000000,0.90000000000000000000,0.90000000000000000000,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",1521,"OPEN WELL NEAR RAMA TEMPLE, WARD NO.2, MINDI, VISAKHAPATNAM",26.0000000000000000,27.0000000000000000,,,7.5700000000000000,7.7100000000000000,1783.0000000000000000,2370.0000000000000000,1.40000000000000000000,2.0000000000000000,,,9.5000000000000000,10.2900000000000000,64.0000000000000000,75.0000000000000000,4.0000000000000000,4.0000000000000000,,,1148.0000000000000000,1540.0000000000000000,0.23000000000000000000,0.30000000000000000000,0.00050000000000000000,0.00050000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",1522,"OPEN WELL PEDDANUVVI, PONNADA (V), ETCHERLA (M)",22.0000000000000000,30.0000000000000000,,,7.2300000000000000,7.7700000000000000,742.0000000000000000,1658.0000000000000000,2.5000000000000000,2.5000000000000000,,,1.22000000000000000000,5.6600000000000000,64.0000000000000000,93.0000000000000000,3.0000000000000000,7.0000000000000000,,,498.0000000000000000,982.0000000000000000,0.39000000000000000000,0.39000000000000000000,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",1523,"BOREWELL NEAR M/S ANDHRA SUGARS LTD., KOVVUR TOWN",27.0000000000000000,30.0000000000000000,,,7.7100000000000000,7.8800000000000000,280.0000000000000000,762.0000000000000000,2.0000000000000000,2.0000000000000000,,,0.82000000000000000000,3.9000000000000000,28.0000000000000000,39.0000000000000000,3.0000000000000000,3.0000000000000000,,,194.0000000000000000,484.0000000000000000,0.23000000000000000000,0.23000000000000000000,,
